"id","name","bussines_name","rfc","comments_on_delivery","date_joined","date_created","date_updated","direction_id"
"18","RDCM IRAPUATO","RDCM S DE RL DE CV","RDC070320K75","EPP COMPLETO, DOC DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO, HORARIO DE RECEPCIÓN 8 AM a 4 PM, ENTREGA CON CARTA PORTE","2023-07-19","2023-07-19 08:20:36.888105+00","2023-07-19 08:05:44.037766+00","98"
"19","GRAHAM PACKAGING PLASTIC PRODUCTS DE MEXICO  TLANEPANTLA","GRAHAM PACKAGING PLASTIC PRODUCTS DE MEXICO S DE RL DE CV","GPP780802NQ4","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:37.043646+00","2023-07-19 08:05:44.268726+00","99"
"20","SRB QUIMICOS TULTEPEC","SRB QUIMICOS SA DE CV","SQU090304D62","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:37.195118+00","2023-07-19 08:05:44.500753+00","100"
"21","HAL ALUMINIUM SILAO AV MINERAL","HAL ALUMINUM MEXICO SA DE CV","HAM100601356","EPP COMPLETO, DOC UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO, HORARIO DE RECEPCIÓN DE 8 AM A 5 PM, SE REQUIERE CITA","2023-07-19","2023-07-19 08:20:37.351794+00","2023-07-19 08:05:44.735265+00","101"
"22","HERSHEY LEÓN","HERSHEY MÉXICO SA DE CV","HME690225IZ3","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:37.506181+00","2023-07-19 08:05:44.969457+00","102"
"23","NIHON MAGNESIO EL MARQUES","NIHON MAGNESIO SA DE CV","NMA070307IA1","EPP COMPLETO (CHALECO NARANJA), DOC DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO, HORARIO DE RECEPCIÓN 8 AM a 5 PM","2023-07-19","2023-07-19 08:20:37.661817+00","2023-07-19 08:05:45.204964+00","103"
"24","SKF TECHNOLOGY PARK GUADALAJARA","SKF SEALING SOLUTIONS SA DE CV","SSS820802Q33","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:37.816325+00","2023-07-19 08:05:45.437967+00","104"
"25","HAL ALUMINIUM SILAO CIRCUITO","HAL ALUMINUM MEXICO SA DE CV","HAM100601356","EPP COMPLETO, DOC UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO, HORARIO DE RECEPCIÓN DE 8 AM A 5 PM, SE REQUIERE CITA","2023-07-19","2023-07-19 08:20:37.980067+00","2023-07-19 08:05:45.671472+00","105"
"26","RONGTAI INDUSTRIAL DEVELOPMENTE LEÓN","RONGTAI INDUSTRIAL DEVELOPMENTE LEÓN S DE RL DE CV","RID151210DQ9","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:38.133674+00","2023-07-19 08:05:45.902963+00","106"
"27","INDUSTRIAS MICHELIN PLANTA LEÓN","INDUSTRIAS MICHELIN, SA DE CV","IMI9709082M5","DOC UNIDAD Y OPERADOR VIGENTES (SUA, POLIZA, TORRETA,ALARMA DE REVERSA, BUENAS CONDICIONES) EPP COMPLETO, HORARIO DE RECEPCIÓN DE 8 AM A 10 PM","2023-07-19","2023-07-19 08:20:38.287295+00","2023-07-19 08:05:46.13478+00","107"
"28","NORGREN MANUFACTURING QUERÉTARO","NORGREN MANUGACTURING DE MÉXICO SA DE CV","NMM0308145E9","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:38.442397+00","2023-07-19 08:05:46.366856+00","108"
"29","AUTONEUM MEXICO SLP","AUTONEUM MEXICO OPERATIONS SA DE CV","AMO150428TX9","EPP COMPLETO, DOC DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO, HORARIO DE RECEPCIÓN 8 AM a 5 PM","2023-07-19","2023-07-19 08:20:38.595508+00","2023-07-19 08:05:46.597992+00","109"
"30","CAMPI ALIMENTOS chinameca","CAMPI ALIMENTOS SA DE CV","CAL031230UL6","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:38.750339+00","2023-07-19 08:05:46.829038+00","110"
"31","CAMPI ALIMENTOS MERIDA YUCATÁN","CAMPI ALIMENTOS SA DE CV","CAL031230UL6","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:38.903938+00","2023-07-19 08:05:47.058771+00","111"
"32","ACCEL COMERCIAL QUERÉTARO","ACCEL COMERCIAL SA DE CV","ACO941024FG4","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:39.058867+00","2023-07-19 08:05:47.286888+00","112"
"33","NOVARES MEXICO CUATLANCINGO","NOVARES MEXICO SA DE CV","CTC861104I92","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:39.213502+00","2023-07-19 08:05:47.514287+00","113"
"34","ROTODEPOT","ROTODEPOT","CTC861104I92","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:39.367973+00","2023-07-19 08:05:47.742697+00","114"
"35","WHIRPOOL","WHIRPOOL","CTC861104I92","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:39.522646+00","2023-07-19 08:05:47.973025+00","115"
"36","ALBANY ENGINEERED COMPOSITES MEXICO COLON","ALBANY ENGINEERED COMPOSITES MEXICO S DE RL DE CV","AEC1702015G9","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:39.679723+00","2023-07-19 08:05:48.205465+00","116"
"37","JAFRA QUERÉTARO","DISTRIBUIDORA COMERCIAL JAFRA SA DE CV","DCJ030226FJA","EPP COMPLETO, CERTIFICADO DE FUMIGACIÓN VIGENTE Y PEGADO EN LA CAJA, CARTA PORTE IMPRESA, DOC DE UNIDAD Y OPERADOR VIGENTES","2023-07-19","2023-07-19 08:20:39.833943+00","2023-07-19 08:05:48.439105+00","117"
"38","FOREVER BEAUTY","FOREVER BEAUTY SA DE CV","FBE180611MU9","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:39.98743+00","2023-07-19 08:05:48.673889+00","118"
"39","EXTENSIÓN DE RPS SAN JUAN TEPECOCULCO","RED PACKERS SOLUTIONS S.A DE C.V","RPS110525M55","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:40.140427+00","2023-07-19 08:05:48.902138+00","119"
"40","BIMBO LERMA","BIMBO S.A DE C.V","BIM011108DJ5","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:40.293345+00","2023-07-19 08:05:49.134712+00","120"
"41","HITACHI LERMA PLANTA 3","HITACHI ASTEMO MEXICO SA DE CV.","HAS120702332","EPP COMPLETO, DOC DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO, HORARIO DE RECEPCIÓN DE 8 AM A 3 PM-VIERNES HASTA LAS 12 PM","2023-07-19","2023-07-19 08:20:40.446301+00","2023-07-19 08:05:49.363762+00","121"
"42","HONDA CELAYA","HONDA DE MEXICO S.A. DE C.V","HME850910RF1","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:40.601798+00","2023-07-19 08:05:49.603751+00","122"
"43","CUBETAS Y BAÑOS ECATEPEC","CUBETAS Y BAÑOS SA DE CV","CBA8407107M5","EPP COMPLETO, DOC DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO, HORARIO DE RECEPCIÓN 8 AM a 5 PM","2023-07-19","2023-07-19 08:20:40.756803+00","2023-07-19 08:05:49.837375+00","123"
"44","AUMA TEC PARQUE INDUSTRIAL BENITO JUÁREZ","AUMA TEC, SA DE CV","ATE961218AA3","EPP COMPLETO, DOC DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO, HORARIO DE RECEPCIÓN 8 AM a 5 PM","2023-07-19","2023-07-19 08:20:40.916866+00","2023-07-19 08:05:50.072227+00","124"
"45","SERVICIOS INDUSTRIALES HMM QUERETARO","SERVICIOS INDUSTRIALES HMM SA DE CV","SIH1311152C0","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:41.06952+00","2023-07-19 08:05:50.303814+00","125"
"46","FAIST ALUCAST SANTA FE IV","FAIST ALUCAST S DE RL DE CV","FAL131114II6",NULL,"2023-07-19","2024-03-22 17:07:37.371622+00","2023-07-19 08:05:50.535932+00","126"
"47","CARCOUSTICS INDUSTRIAL DE MEXICO SAN MIGUEL DE ALLENDE","CARCOUSTICS INDUSTRIAL DE MEXICO, S DE RL DE CV","CIM0710049M6","EPP COMPLETO, DOC DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO, HORARIO DE RECEPCIÓN 8 AM a 5 PM, REQUIERE CITA","2023-07-19","2023-07-19 08:20:41.377452+00","2023-07-19 08:05:50.768942+00","127"
"48","SCHÜTZ ELSA EDO MÉXICO","SCHÜTZ ELSA, S.A. DE C.V.","ELA830207CYA","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:41.531524+00","2023-07-19 08:05:51.002475+00","128"
"49","AHRESTY MEXICANA ZACATECAS","AHRESTY MEXICANA, SA DE CV","AME060606CV8","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:41.686636+00","2023-07-19 08:05:51.237728+00","129"
"50","CONTINENTAL TIRE DE MEXICO slp","CONTINENTAL TIRE DE MEXICO, SA DE CV","CTM990421TL9","EPP COMPLETO, UNIDAD BUEN ESTADO, UNIDADES 3.5 TN, SE SOLICITA CITA UN DIA ANTES POR CORREO CON DOCUMENTOS Y CANTIDAD DE MATERIAL A ENTREGAR, HR 24HRS","2023-07-19","2023-07-19 08:20:41.841828+00","2023-07-19 08:05:51.472717+00","130"
"51","INTER PLAS INDUSTRIES XALOSTOC","INTER PLAS INDUSTRIES SA DE CV","IPI041105GZ5","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:41.995212+00","2023-07-19 08:05:51.707682+00","131"
"52","COMPAÑIA HULERA TORNEL MIGUEL HIDALGO","COMPAÑIA HULERA TORNEL, SA DE CV","HTO830620G40","EPP COMPLETO, ALARMA DE REVERSA, DOC DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO, HORARIO DE RECEPCIÓN 8 AM a 4 PM","2023-07-19","2023-07-19 08:20:42.154802+00","2023-07-19 08:05:51.941662+00","132"
"53","MARIA SUSANA DE JESUS PADRON SAN PEDRITO PEÑUELAS","MARIA SUSANA DE JESUS PADRON","JEPS710427LH0","RPP COMPLETO, DOC DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN Y RAMPA EN BUEN ESTADO , HORARIO DE RECEPCIÓN DE 8 AM A 12 PM","2023-07-19","2023-07-19 08:20:42.313218+00","2023-07-19 08:05:52.17507+00","133"
"54","FASTENAL MEXICO PARQUE AEROESPACIAL","FASTENAL MEXICO, S. DE R.L. DE C.V.","FME991110CZ9","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:42.468806+00","2023-07-19 08:05:52.406828+00","134"
"55","CIKAUTXO DE MEXICO LEÓN","CIKAUTXO DE MEXICO, S. DE RL DE CV","CME130507UB8","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:42.625693+00","2023-07-19 08:05:52.640541+00","135"
"56","IK PLASTIC COMPOUND MEXICO  SILAO","IK PLASTIC COMPOUND MEXICO SA DE CV","IPC121114BX2","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:42.781223+00","2023-07-19 08:05:52.874939+00","136"
"57","POLIURETANOS SW PUEBLA","POLIURETANOS SW PUEBLA, SA DE CV","PSP1606281U1","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:42.940817+00","2023-07-19 08:05:53.108084+00","137"
"58","CONSORCIO INDUSTRIAL MEXICANO DE AUTOPARTES SILAO","CONSORCIO INDUSTRIAL MEXICANO DE AUTOPARTES S DE RL DE CV","CIM8508097R4","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:43.096038+00","2023-07-19 08:05:53.341892+00","138"
"59","SAINT GOBAIN MEXICO VALLE DE SANTIAGO","SAINT GOBAIN MEXICO SA DE CV","SME9502015F6","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:43.249465+00","2023-07-19 08:05:53.575093+00","139"
"60","STRATEGIC DISTRIBUTION MARKETING DE MEXICO TEQUISQUIAPAN","STRATEGIC DISTRIBUTION MARKETING DE MEXICO SA DE CV","SDM951020R21","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:43.40517+00","2023-07-19 08:05:53.809228+00","140"
"61","VIÑEDOS LA REDONDA","VIÑEDOS LA REDONDA SA DE CV","VRE060410PKA","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:43.561944+00","2023-07-19 08:05:54.041079+00","141"
"62","CORPORATIVO SUPER Q QUERETARO","CORPORATIVO SUPER Q QUERETARO SA DE CV","SQX981027RY5","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:43.718073+00","2023-07-19 08:05:54.275097+00","142"
"63","COMERCIALIZADORA HEXA TIZAYUCA","COMERCIALIZADORA HEXA S.A. DE C.V.","CHE940524IX0","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:43.87372+00","2023-07-19 08:05:54.505998+00","143"
"64","SIEMENS ENERGY","SIEMENS ENERGY, S. de R.L. de C.V","SGP190923628","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:44.027963+00","2023-07-19 08:05:54.739328+00","144"
"65","SIAT PUEBLA","SIAT SA DE CV","SIA9905193V6","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:44.181944+00","2023-07-19 08:05:54.973133+00","145"
"66","WEG MEXICO HUEHUETOCA","WEG MEXICO, SA DE CV","WME990813BAA","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:44.340122+00","2023-07-19 08:05:55.204776+00","146"
"67","PPD PLASTICO QUERETARO","PPD PLASTICO S.A. DE C.V","XAXX010101000","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:44.49381+00","2023-07-19 08:05:55.448706+00","147"
"68","GOODYEAR-SLP","GOODYEAR-SLP, S DE RL DE CV","FER150407LI3","EPP COMPLETO, DOC DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO, HORARIO DE RECEPCIÓN 8 AM a 5 PM, ENTREGA EN LA BODEGA RYDER","2023-07-19","2023-07-19 08:20:44.647676+00","2023-07-19 08:05:55.680727+00","148"
"69","PRODUCTOS Y SERVICIOS INTEGRALES NEZA","PRODUCTOS Y SERVICIOS INTEGRALES NEZA SA DE CV.","PSI060822T51","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:44.800285+00","2023-07-19 08:05:55.914841+00","149"
"70","ALTO ESTANDAR EN ALIMENTOS COLON","ALTO ESTANDAR EN ALIMENTOS","AEA210708IG4",NULL,"2023-07-19","2025-06-30 16:44:00.394663+00","2023-07-19 08:05:56.14804+00","150"
"71","CEDIS SORIANA","Tiendas Soriana , SA de CV","TSO991022PB6","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:45.111436+00","2023-07-19 08:05:56.381204+00","151"
"72","ADMAN LEKUN","ADMAN LEKUN SA DE CV","ALE130219V79","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:45.268802+00","2023-07-19 08:05:56.614797+00","152"
"73","BRP QUERÉTARO","BRP QUERÉTARO SA DE CV","BQU120316S58","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:45.42347+00","2023-07-19 08:05:56.846167+00","153"
"74","MAS SEEDS","MAS SEEDS MEXICO SA DE CV","MSM190918392","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:45.57757+00","2023-07-19 08:05:57.074199+00","154"
"75","SATUS AGER","SATUS AGER MEXICO S DE RL DE CV","RSM160128J94","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:45.729628+00","2023-07-19 08:05:57.306788+00","155"
"76","PROMAPLAST CELAYA","COMPAÑIA PLÁSTICA INTERNATIONAL","PRE020314RC4","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:45.881634+00","2023-07-19 08:05:57.537499+00","156"
"77","BRIDGESTONE  CUERNAVACA","BRIDGESTONE DE MEXICO SA DE CV","BFM910826TW6","EPP COMPLETO, DOC UNIDAD Y OPERADOR VIGENTES, MATERIAL EN BUEN ESTADO, FRENO DE MANO Y ALARMA DE REVERSA, HR RECEPCIÓN 24 HRS, SE REQUIERE CITA","2023-07-19","2023-07-19 08:20:46.035709+00","2023-07-19 08:05:57.77105+00","157"
"78","DIGA TULTITLAN","DIGA, SA DE CV","DIG8512095I8","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:46.186425+00","2023-07-19 08:05:58.007193+00","158"
"79","MADERAS AGLOMERADOS Y TRIPLAY","MADERAS AGLOMERADOS Y TRIPLAY S DE RL DE CV","MAT830215ME4","EPP COMPLETO, DOCUMENTOS DE UNIDAD Y OPERADOR VIGENTES, MATERIAL DE SUJECIÓN EN BUEN ESTADO","2023-07-19","2023-07-19 08:20:46.346829+00","2023-07-19 08:05:58.23923+00","159"
